EMP,ESTAB,old_naics,state,county,NAICS2012
119,4,5241,48,001,5241
0,1,52411,48,001,52411
0,1,524114,48,001,524114
0,3,52412,48,001,52412
0,1,524126,48,001,524126
0,2,524127,48,001,524127
52,19,5242,48,001,5242
52,19,52421,48,001,52421
52,19,524210,48,001,524210
218,38,53,48,001,53
75,26,531,48,001,531
56,16,5311,48,001,5311
0,6,53111,48,001,53111
0,6,531110,48,001,531110
28,5,53112,48,001,53112
28,5,531120,48,001,531120
6,4,53113,48,001,53113
6,4,531130,48,001,531130
0,1,53119,48,001,53119
0,1,531190,48,001,531190
0,7,5312,48,001,5312
0,7,53121,48,001,53121
0,7,531210,48,001,531210
0,3,5313,48,001,5313
0,1,53131,48,001,53131
0,1,531312,48,001,531312
0,1,53132,48,001,53132
0,1,531320,48,001,531320
0,1,53139,48,001,53139
0,1,531390,48,001,531390
143,12,532,48,001,532
0,2,5321,48,001,5321
0,2,53211,48,001,53211
0,1,532111,48,001,532111
0,1,532112,48,001,532112
0,3,5322,48,001,5322
0,2,53223,48,001,53223
0,2,532230,48,001,532230
0,1,53229,48,001,53229
0,1,532291,48,001,532291
0,2,5323,48,001,5323
0,2,53231,48,001,53231
0,2,532310,48,001,532310
0,5,5324,48,001,5324
99,4,53241,48,001,53241
99,4,532412,48,001,532412
0,1,53249,48,001,53249
0,1,532490,48,001,532490
248,76,54,48,001,54
248,76,541,48,001,541
56,21,5411,48,001,5411
56,21,54111,48,001,54111
56,21,541110,48,001,541110
99,24,5412,48,001,5412
99,24,54121,48,001,54121
26,11,541211,48,001,541211
0,4,541213,48,001,541213
0,1,541214,48,001,541214
56,8,541219,48,001,541219
49,14,5413,48,001,5413
31,7,54133,48,001,54133
31,7,541330,48,001,541330
0,2,54135,48,001,54135
0,2,541350,48,001,541350
0,5,54137,48,001,54137
0,5,541370,48,001,541370
0,1,5414,48,001,5414
0,1,54141,48,001,54141
0,1,541410,48,001,541410
0,8,5416,48,001,5416
0,4,54161,48,001,54161
0,1,541611,48,001,541611
0,2,541613,48,001,541613
0,1,541618,48,001,541618
0,1,54162,48,001,54162
0,1,541620,48,001,541620
2,3,54169,48,001,54169
2,3,541690,48,001,541690
0,1,5417,48,001,5417
0,1,54171,48,001,54171
0,1,541710,48,001,541710
